,Title,LCCN,Start_Date,End_Date,Town,State,LatLong,X1880_Population
35,Arizona weekly republican.,sn89077833,1893-01-19,1893-02-23,Phoenix,Arizona,"33.4483771, -112.0740373",NA
36,Bisbee daily review.,sn84024827,12/4/1901,12/31/1922,Bisbee,Arizona,"31.4481547, -109.9284084",NA
37,The border vidette.,sn96060796,1897-05-15,12/30/1922,Nogales,Arizona,"31.3403775, -110.9342532",NA
38,The Clifton clarion.,sn94050557,1885-01-21,1889-08-28,Clifton,Arizona,"33.0508966, -109.2961826",NA
39,Cochise review and Arizona daily orb.,sn94050506,5/3/1900,5/16/1900,Bisbee,Arizona,"31.4481547, -109.9284084",NA
40,Cochise review.,sn94050513,5/17/1900,3/9/1901,Bisbee,Arizona,"31.4481547, -109.9284084",NA
41,The Coconino sun.,sn82016245,1891-05-23,1891-10-29,Flagstaff,Arizona,"35.1982836, -111.651302",NA
42,The Coconino sun.,sn87062055,1898-01-29,12/29/1922,Flagstaff,Arizona,"35.1982836, -111.651302",NA
43,The Coconino weekly sun.,sn87062054,1891-11-05,1896-11-26,Flagstaff,Arizona,"35.1982836, -111.651302",NA
44,The copper era and Morenci leader.,sn94050892,12/1/1911,12/29/1922,Clifton,Arizona,"33.0508966, -109.2961826",NA
45,The copper era.,sn89053851,1899-06-01,11/24/1911,Clifton,Arizona,"33.0508966, -109.2961826",NA
46,Daily Arizona silver belt.,sn87082863,1/2/1907,5/26/1910,Globe,Arizona,"33.3942223, -110.7864984",NA
47,Daily Tombstone epitaph.,sn96060682,1885-12-22,1887-05-07,Tombstone,Arizona,"31.7128683, -110.0675764",NA
48,The Daily Tombstone.,sn94052361,1885-09-01,1886-12-07,Tombstone,Arizona,"31.7128683, -110.0675764",NA
49,The Flagstaff sun-democrat.,sn94050554,1897-01-07,1897-11-18,Flagstaff,Arizona,"35.1982836, -111.651302",NA
50,The Florence tribune.,sn94050572,1892-08-25,12/28/1901,Florence,Arizona,"33.0314508, -111.3873431",NA
51,El fronterizo.,sn95070521,1882-01-06,7/25/1908,Tucson,Arizona,"32.2226066, -110.9747108",NA
52,Graham guardian.,sn95060914,1895-03-09,12/26/1922,Safford,Arizona,"32.8339546, -109.70758",NA
53,Holbrook argus.,sn94051342,5/12/1900,2/4/1913,Holbrook,Arizona,"34.9022482, -110.1581768",NA
54,The Holbrook news.,sn95060791,5/14/1909,12/29/1922,Holbrook,Arizona,"34.9022482, -110.1581768",NA
55,Mohave County miner and our mineral wealth.,sn96060547,8/10/1918,12/1/1922,Kingman,Arizona,"35.189443, -114.0530065",NA
56,Mohave County miner.,sn84024828,1882-11-05,8/3/1918,Mineral Park,Arizona,"35.3490619, -114.1786798",NA
57,The oasis.,sn85032933,1893-05-11,12/28/1912,Arizola,Arizona,"32.8511698, -111.7142947",NA
58,The Phoenix herald.,sn87062082,1879-03-05,1882-09-15,Phoenix,Arizona,"33.4483771, -112.0740373",NA
59,Phoenix weekly herald.,sn83025460,1896-05-07,1898-11-24,Phoenix,Arizona,"33.4483771, -112.0740373",NA
60,Safford rattler.,sn2004060008,1896-09-02,1896-09-23,Safford,Arizona,"32.8339546, -109.70758",NA
61,Salt River herald.,sn87062081,1878-01-26,1879-03-01,Phoenix,Arizona,"33.4483771, -112.0740373",NA
62,The Skylight kicker.,sn94050555,1897-11-25,1897-12-30,Flagstaff,Arizona,"35.1982836, -111.651302",NA
63,Snips and the St. Johns herald.,sn95060581,3/19/1903,12/31/1904,St. Johns,Arizona,"34.5058698, -109.3609327",NA
64,Snips.,sn95060580,12/18/1902,12/18/1902,St. Johns,Arizona,"34.5058698, -109.3609327",NA
65,St. Johns herald and Apache news.,sn95060582,10/11/1906,3/22/1917,St. Johns,Arizona,"34.5058698, -109.3609327",NA
66,The St. Johns herald.,sn95060583,3/29/1917,12/28/1922,St. Johns,Arizona,"34.5058698, -109.3609327",NA
67,The St. Johns herald.,sn94051692,1885-02-12,2/22/1902,St. Johns,Arizona,"34.5058698, -109.3609327",NA
68,Tombstone daily epitaph.,sn96060681,1889-08-01,1889-12-01,Tombstone,Arizona,"31.7128683, -110.0675764",NA
69,Tombstone daily prospector.,sn95060902,1889-01-01,1891-03-05,Tombstone,Arizona,"31.7128683, -110.0675764",NA
70,The Tombstone epitaph.,sn82016455,1882-03-07,1882-03-07,Tombstone,Arizona,"31.7128683, -110.0675764",NA
71,Tombstone epitaph.,sn95060905,1887-08-06,12/31/1922,Tombstone,Arizona,"31.7128683, -110.0675764",NA
72,The Tombstone epitaph.,sn84021939,1881-12-19,1882-06-17,Tombstone,Arizona,"31.7128683, -110.0675764",NA
73,Tombstone prospector.,sn95060903,1896-06-26,1899-12-30,Tombstone,Arizona,"31.7128683, -110.0675764",NA
74,Tombstone weekly epitaph.,sn95060906,1882-06-24,1882-12-16,Tombstone,Arizona,"31.7128683, -110.0675764",NA
75,The Tombstone.,sn96060683,1885-03-21,1885-08-31,Tombstone,Arizona,"31.7128683, -110.0675764",NA
76,Weekly Arizona citizen.,sn82016240,1880-06-19,1880-12-18,Tucson,Arizona,"32.2226066, -110.9747108",NA
77,Weekly Arizona journal-miner.,sn85032920,3/11/1903,9/23/1908,Prescott,Arizona,"34.5400242, -112.4685025",NA
78,The weekly Arizona miner.,sn82014897,1877-06-08,1885-08-14,Prescott,Arizona,"34.5400242, -112.4685025",NA
79,The weekly Arizona miner.,sn82014899,1868-08-01,1873-12-26,Prescott,Arizona,"34.5400242, -112.4685025",NA
80,The Weekly Arizonian.,sn84024829,1869-03-21,1871-04-29,Tucson,Arizona,"32.2226066, -110.9747108",NA
81,The weekly Arizonian.,sn82014067,1859-03-03,1859-11-17,Tubac,Arizona,"31.61259, -111.0459238",NA
82,Weekly journal-miner.,sn85032923,9/30/1908,12/27/1922,Prescott,Arizona,"34.5400242, -112.4685025",NA
83,The Weekly orb.,sn94050504,1898-04-10,1899-09-24,Bisbee,Arizona,"31.4481547, -109.9284084",NA
84,Weekly Phoenix herald.,sn83025459,1882-09-22,1885-04-02,Phoenix,Arizona,"33.4483771, -112.0740373",NA
85,The weekly Republican.,sn89077832,1892-05-19,1892-07-28,Phoenix,Arizona,"33.4483771, -112.0740373",NA
86,The Williams news.,sn82015761,7/6/1901,12/29/1922,Williams,Arizona,"35.2494566, -112.1910031",NA
87,Amador ledger.,sn93052980,1/5/1900,12/30/1910,Jackson,California,"38.3488023, -120.7741018",NA
88,The Call-chronicle-examiner.,sn82015732,4/19/1906,4/19/1906,San Francisco,California,"37.7749295, -122.4194155",233959
89,Daily Los Angeles herald.,sn85042459,1878-01-03,1884-10-05,Los Angeles,California,"34.0522342, -118.2436849",NA
90,The herald.,sn85042461,1893-01-16,1898-12-31,Los Angeles,California,"34.0522342, -118.2436849",NA
91,Imperial press and farmer.,sn92070142,11/2/1901,3/14/1903,Imperial,California,"32.8475528, -115.5694391",NA
92,The Imperial press.,sn92070143,4/4/1903,9/30/1905,Imperial,California,"32.8475528, -115.5694391",NA
93,Imperial press.,sn98061398,4/20/1901,10/26/1901,Imperial,California,"32.8475528, -115.5694391",NA
94,Imperial Valley press and the Imperial press.,sn92070144,3/24/1906,7/17/1907,El Centro,California,"32.792, -115.5630514",NA
95,Imperial Valley press.,sn92070146,7/23/1907,12/31/1910,El Centro,California,"32.792, -115.5630514",NA
96,L'Italia.,sn85066408,1898-01-03,12/31/1917,San Francisco,California,"37.7749295, -122.4194155",233959
97,Los Angeles daily herald.,sn84038806,1873-10-02,1876-06-30,Los Angeles,California,"34.0522342, -118.2436849",NA
98,Los Angeles daily herald.,sn85042460,1884-10-07,1890-03-22,Los Angeles,California,"34.0522342, -118.2436849",NA
99,Los Angeles herald.,sn84025968,1890-03-23,1893-01-15,Los Angeles,California,"34.0522342, -118.2436849",NA
100,Los Angeles herald.,sn85042462,1/1/1905,12/31/1910,Los Angeles,California,"34.0522342, -118.2436849",NA
101,The morning call.,sn94052989,1890-04-01,1895-03-04,San Francisco,California,"37.7749295, -122.4194155",233959
102,The record-union.,sn82015104,1891-01-10,1899-12-31,Sacramento,California,"38.5815719, -121.4943996",21420
103,Sacramento daily record-union.,sn82014381,1880-01-01,1891-01-09,Sacramento,California,"38.5815719, -121.4943996",21420
104,The San Francisco call and post.,sn86064451,12/9/1913,12/31/1913,San Francisco,California,"37.7749295, -122.4194155",233959
105,The San Francisco call.,sn85066387,1895-03-05,12/8/1913,San Francisco,California,"37.7749295, -122.4194155",233959
106,Bent County register.,sn90051188,1886-07-03,1889-03-23,Lamar,Colorado,"38.0872307, -102.6207496",NA
107,Can~on City record.,sn85067315,1897-07-01,9/23/1909,Can~on City,Colorado,"38.4494063, -105.2253316",NA
108,Cheyenne record.,sn89052329,9/18/1913,6/30/1921,Cheyenne Wells,Colorado,"38.821395, -102.3532435",NA
109,Cheyenne Wells record.,sn89052330,7/7/1921,12/28/1922,Cheyenne Wells,Colorado,"38.821395, -102.3532435",NA
110,The daily sentinel.,sn86066870,1898-12-24,2/7/1903,Grand Junction,Colorado,"39.0638705, -108.5506486",NA
111,Delta chief.,sn86066893,1883-03-07,1885-12-02,Delta,Colorado,"38.7422062, -108.0689582",NA
112,The Delta independent.,sn86063206,1886-11-16,11/22/1907,Delta,Colorado,"38.7422062, -108.0689582",NA
113,The Denver Jewish news.,sn91052360,10/24/1918,12/27/1922,Denver,Colorado,"39.7392358, -104.990251",35629
114,The Denver star.,sn84025887,3/22/1913,10/26/1918,Denver,Colorado,"39.7392358, -104.990251",35629
115,Eastern Colorado times.,sn89052328,3/29/1912,9/4/1913,Cheyenne Wells,Colorado,"38.821395, -102.3532435",NA
116,The Elk Mountain pilot.,sn86063397,1880-06-24,4/29/1920,Ruby Camp),Colorado,"38.7525702, -106.0700168",NA
117,Franklin's paper the Denver star.,sn91052312,11/23/1912,3/15/1913,Denver,Colorado,"39.7392358, -104.990251",35629
118,Franklin's paper the statesman.,sn91052311,6/8/1906,11/16/1912,Denver,Colorado,"39.7392358, -104.990251",35629
119,The Fremont County record.,sn85067309,1880-05-01,1883-07-14,Canon City,Colorado,"38.4494063, -105.2253316",NA
120,The Jewish outlook.,sn91052361,8/5/1904,6/11/1909,Denver,Colorado,"39.7392358, -104.990251",35629
121,La Junta tribune.,sn90051267,1898-01-01,5/22/1909,La Junta,Colorado,"37.9850091, -103.5438321",NA
122,The Lamar register.,sn86063147,1889-03-30,10/21/1903,Lamar,Colorado,"38.0872307, -102.6207496",NA
123,The Ordway new era.,sn90051033,3/14/1902,12/28/1917,Ordway,Colorado,"38.2180608, -103.7560606",NA
124,Rocky Ford enterprise.,sn90051265,1893-08-31,5/29/1908,Rocky Ford,Colorado,"38.052508, -103.7202274",NA
125,The statesman.,sn83025516,1/13/1905,6/1/1906,Denver,Colorado,"39.7392358, -104.990251",35629
126,The bee.,sn92051488,1877-06-28,1877-09-27,Newtown,Connecticut,"41.4141172, -73.3035651",NA
127,The Bridgeport evening farmer.,sn84022472,1/2/1909,12/31/1917,Bridgeport,Connecticut,"41.1792258, -73.1894384",27643
128,The Bridgeport times and evening farmer.,sn92051227,1/1/1918,12/30/1922,Bridgeport,Connecticut,"41.1792258, -73.1894384",27643
129,Connecticut western news.,sn84027718,1871-07-14,1883-12-19,Salisbury,Connecticut,"41.983426, -73.4212318",NA
130,The daily morning journal and courier.,sn84020358,1894-06-25,12/14/1907,New Haven,Connecticut,"41.308274, -72.9278835",62882
131,Morning journal and courier.,sn82015483,1880-01-01,1894-06-23,New Haven,Connecticut,"41.308274, -72.9278835",62882
132,The morning journal-courier.,sn92051397,12/16/1907,12/31/1908,New Haven,Connecticut,"41.308274, -72.9278835",62882
133,The Newtown bee.,sn92051487,1877-10-04,12/31/1909,Newtown,Connecticut,"41.4141172, -73.3035651",NA
134,Norwich bulletin.,sn82014086,1/1/1909,12/30/1922,Norwich,Connecticut,"41.5242649, -72.0759105",NA
135,The Press.,sn92051501,1883-04-05,12/28/1922,Stafford Springs,Connecticut,"41.984407, -72.3162523",NA
136,Republican farmer.,sn82015536,4/2/1909,8/13/1920,Bridgeport,Connecticut,"41.1792258, -73.1894384",27643
137,Tolland County press.,sn84022401,1883-01-18,1883-03-29,Stafford Springs,Connecticut,"41.984407, -72.3162523",NA
138,Waterbury Democrat.,2016270502,1895-09-02,1897-11-06,Waterbury,Connecticut,"41.5581525, -73.0514965",NA
139,Waterbury Democrat.,sn93053725,10/20/1900,2/28/1903,Waterbury,Connecticut,"41.5581525, -73.0514965",NA
140,Waterbury evening Democrat.,sn94053256,1887-12-05,1895-08-31,Waterbury,Connecticut,"41.5581525, -73.0514965",NA
141,Waterbury evening Democrat.,sn93053726,3/2/1903,12/31/1908,Waterbury,Connecticut,"41.5581525, -73.0514965",NA
142,Waterbury evening Democrat.,2016270503,1897-11-08,10/19/1900,Waterbury,Connecticut,"41.5581525, -73.0514965",NA
143,The advance.,sn86058063,9/22/1900,9/22/1900,Wilmington,Delaware,"39.744655, -75.5483909",42478
144,The advertiser.,2017270501,1879-11-22,1879-12-20,Wilmington,Delaware,"39.744655, -75.5483909",42478
145,The advertiser.,sn88053127,1879-11-22,1880-01-17,Wilmington,Delaware,"39.744655, -75.5483909",42478
146,American watchman.,sn82014895,1822-01-11,1822-03-12,Wilmington,Delaware,"39.744655, -75.5483909",42478
147,Blue hen's chicken and commonwealth.,sn88053048,1862-05-21,1862-10-01,Wilmington,Delaware,"39.744655, -75.5483909",42478
148,Blue hen's chicken.,sn85038076,1848-10-27,1854-07-28,Wilmington,Delaware,"39.744655, -75.5483909",42478
149,Blue hens chicken & Delaware Democratic Whig.,sn84038110,1845-11-21,1847-03-05,Wilmington,Delaware,"39.744655, -75.5483909",42478
150,The Business index.,sn88053076,1876-05-24,1876-08-05,Wilmington,Delaware,"39.744655, -75.5483909",42478
151,The Clayton call.,sn88053060,1897-07-06,1897-07-06,Clayton,Delaware,"39.2906671, -75.6343727",NA
152,Clayton herald.,sn88053070,1867-08-17,1869-07-31,Clayton,Delaware,"39.2906671, -75.6343727",NA
153,The commonwealth.,sn88053049,1858-08-14,1863-09-30,Wilmington,Delaware,"39.744655, -75.5483909",42478
154,Daily enterprise.,sn88053078,1858-04-03,1858-04-23,Wilmington,Delaware,"39.744655, -75.5483909",42478
155,The daily gazette.,sn82014805,1874-08-21,1883-12-07,Wilmington,Delaware,"39.744655, -75.5483909",42478
156,Daily Republican.,sn84038114,1874-07-27,1890-06-30,Wilmington,Delaware,"39.744655, -75.5483909",42478
157,The daily Republican.,sn88053056,10/4/1902,5/20/1903,Wilmington,Delaware,"39.744655, -75.5483909",42478
158,The Delaware abolitionist.,sn88053129,1848-01-01,1848-12-31,Wilmington,Delaware,"39.744655, -75.5483909",42478
159,Delaware advertiser & star.,sn88053023,1832-07-05,1832-07-05,Wilmington,Delaware,"39.744655, -75.5483909",42478
160,Delaware advertiser and farmer's journal.,sn87062239,1829-03-12,1831-10-20,Wilmington,Delaware,"39.744655, -75.5483909",42478
161,The Delaware City news.,sn88053083,1887-07-09,1889-04-11,Delaware City,Delaware,"39.5778901, -75.588815",NA
162,Delaware City press.,sn88053066,2/28/1913,12/12/1913,Delaware City,Delaware,"39.5778901, -75.588815",NA
163,Delaware Democrat.,sn88053050,1857-08-29,1857-10-17,Wilmington,Delaware,"39.744655, -75.5483909",42478
164,The Delaware Democrat.,sn88053072,1882-09-23,1882-09-23,Georgetown,Delaware,"38.6901134, -75.3854728",NA
165,Delaware farm and home.,sn88053137,1886-03-11,1895-08-22,Wilmington,Delaware,"39.744655, -75.5483909",42478
166,Delaware gazette and American watchman.,sn82014936,1830-06-04,1833-01-11,Wilmington,Delaware,"39.744655, -75.5483909",42478
167,Delaware gazette and peninsula advertiser.,sn82014384,1817-05-24,1818-12-30,Wilmington,Delaware,"39.744655, -75.5483909",42478
168,Delaware gazette and state journal.,sn88053046,1883-12-13,12/25/1902,Wilmington,Delaware,"39.744655, -75.5483909",42478
169,The Delaware gazette.,sn82014385,1809-07-08,1810-06-06,Wilmington,Delaware,"39.744655, -75.5483909",42478
170,Delaware gazette.,sn82014937,1839-03-26,1874-11-13,Wilmington,Delaware,"39.744655, -75.5483909",42478
171,The Delaware herald.,sn88053068,1851-05-28,1851-05-28,Smyrna,Delaware,"39.2998339, -75.6046494",NA
172,Delaware inquirer.,sn88053053,1859-05-07,1863-02-14,Wilmington,Delaware,"39.744655, -75.5483909",42478
173,Delaware journal.,sn83025530,1827-04-27,1829-04-17,Wilmington,Delaware,"39.744655, -75.5483909",42478
174,The Delaware leader.,sn88053085,5/8/1920,5/8/1920,Laurel,Delaware,"38.5565041, -75.5713141",NA
175,The Delaware ledger.,sn88053022,1883-08-04,1889-04-06,Newark,Delaware,"39.6837226, -75.7496572",NA
176,Delaware patriot & American watchman.,sn82014393,1828-01-18,1828-12-05,Wilmington,Delaware,"39.744655, -75.5483909",42478
177,"The Delaware register, or, Farmers', manufacturers' and mechanics' advocate.",sn84020593,1828-11-01,1829-10-24,Wilmington,Delaware,"39.744655, -75.5483909",42478
178,"Delaware Republican, and farmers', manufacturers' and mechanics' advocate.",sn82014718,1841-10-08,1842-07-22,Wilmington,Delaware,"39.744655, -75.5483909",42478
179,Delaware Republican.,sn87062253,1843-02-24,1874-06-29,Wilmington,Delaware,"39.744655, -75.5483909",42478
180,Delaware State journal and statesman.,sn84038112,1857-08-28,1870-04-19,Wilmington,Delaware,"39.744655, -75.5483909",42478
181,"Delaware State journal, advertiser and star.",sn85042477,1833-05-17,1833-09-27,Wilmington,Delaware,"39.744655, -75.5483909",42478
182,Delaware state journal.,sn84026836,1870-07-01,1883-12-06,Wilmington,Delaware,"39.744655, -75.5483909",42478
183,Delaware State reporter.,sn84020428,1853-04-26,1858-09-24,Dover,Delaware,"39.158168, -75.5243682",NA
184,Delaware straight-out truth teller.,sn88053093,1872-10-01,1872-10-01,Wilmington,Delaware,"39.744655, -75.5483909",42478
185,"Delaware tribune, and the Delaware state journal.",sn88053082,1877-06-14,1877-10-18,Wilmington,Delaware,"39.744655, -75.5483909",42478
186,Delaware tribune.,sn84026822,1867-01-03,1876-04-27,Wilmington,Delaware,"39.744655, -75.5483909",42478
187,Delaware weekly advertiser and farmer's journal.,sn84020426,1828-05-01,1828-05-01,Wilmington,Delaware,"39.744655, -75.5483909",42478
188,Delaware weekly Republican.,sn84020401,1847-04-30,1884-07-31,Wilmington,Delaware,"39.744655, -75.5483909",42478
189,"The Delawarean, and farmers' and mechanics' advertiser.",sn88053075,1836-12-17,1836-12-17,Wilmington,Delaware,"39.744655, -75.5483909",42478
190,The Delawarean.,sn84020427,4/11/1900,2/13/1901,Dover,Delaware,"39.158168, -75.5243682",NA
191,The Delmar news.,sn88053158,5/20/1904,5/20/1904,Delmar,Delaware,"38.4565052, -75.5771471",NA
192,The Diamond state.,sn88053041,1855-07-20,1857-02-06,Milford,Delaware,"38.9126129, -75.4279748",NA
193,The Dover argus and Delaware advertiser.,sn88053157,1804-10-24,1804-10-24,Dover,Delaware,"39.158168, -75.5243682",NA
194,The Dover herald.,sn88053159,1800-01-16,1800-01-16,Dover,Delaware,"39.158168, -75.5243682",NA
195,Evening journal.,sn85042354,1888-05-21,1896-06-15,Wilmington,Delaware,"39.744655, -75.5483909",42478
196,The evening Republican.,sn88053043,4/9/1902,10/3/1902,Wilmington,Delaware,"39.744655, -75.5483909",42478
197,The Faulkland quiz.,sn88053067,1892-06-25,1892-06-25,Faulkland,Delaware,"39.7476125, -75.6354836",NA
198,Grimshaw's messenger.,sn88053097,1858-04-01,1858-04-01,Wilmington,Delaware,"39.744655, -75.5483909",42478
199,The Herald.,sn88053095,1870-08-06,1871-08-05,Smyrna,Delaware,"39.2998339, -75.6046494",NA
200,Holiday journal.,sn88053077,1879-11-26,1879-12-31,Wilmington,Delaware,"39.744655, -75.5483909",42478
201,Holly Oak journal.,sn88053090,1889-02-01,1889-02-01,Holly Oak,Delaware,"39.7884464, -75.4788079",NA
202,Independent Delawarian.,sn88053133,1848-11-29,1848-11-29,Wilmington,Delaware,"39.744655, -75.5483909",42478
203,The Messenger.,sn84020404,1858-12-30,1864-03-16,Georgetown,Delaware,"38.6901134, -75.3854728",NA
204,Middletown transcript.,sn84026820,1868-01-04,12/30/1922,Middletown,Delaware,"39.449556, -75.7163207",NA
205,Milford beacon.,sn88053084,1854-04-07,1854-04-07,Milford,Delaware,"38.9126129, -75.4279748",NA
206,Mirror of the times & general advertiser.,sn84020402,1804-02-25,1804-02-29,Wilmington,Delaware,"39.744655, -75.5483909",42478
207,The Monitor & Wilmington repository.,sn84020424,1800-09-20,1801-05-23,Wilmington,Delaware,"39.744655, -75.5483909",42478
208,"The Monitor, or, Delaware Federalist.",sn84038116,1801-08-08,1801-11-16,Wilmington,Delaware,"39.744655, -75.5483909",42478
209,The Morning herald.,sn84038119,1875-08-23,1879-06-19,Wilmington,Delaware,"39.744655, -75.5483909",42478
210,The Museum of Delaware & general advertiser.,sn84020429,1809-06-24,1809-06-24,Wilmington,Delaware,"39.744655, -75.5483909",42478
211,Museum of Delaware.,sn84038113,1804-11-10,1804-11-10,Wilmington,Delaware,"39.744655, -75.5483909",42478
212,The New era.,sn88053061,1890-08-28,1890-08-28,Middletown,Delaware,"39.449556, -75.7163207",NA
213,The Newark ledger.,sn88053044,1880-08-07,1880-08-07,Newark,Delaware,"39.6837226, -75.7496572",NA
214,Newark post.,sn88053005,1/26/1910,12/20/1922,Newark,Delaware,"39.6837226, -75.7496572",NA
215,Newport enterprise.,sn88053073,1889-03-02,1889-03-02,Newport,Delaware,"39.7137237, -75.6093709",NA
216,The Odessa herald.,sn88053062,1888-11-03,1891-05-02,Odessa,Delaware,"39.457334, -75.6613184",NA
217,The Odessa leader.,sn88053126,1892-09-21,1892-09-21,Odessa,Delaware,"39.457334, -75.6613184",NA
218,Peninsular news and advertiser.,sn84026832,1872-09-27,1877-06-29,Milford,Delaware,"38.9126129, -75.4279748",NA
219,Saturday visitor.,sn88053039,1876-02-12,1876-02-12,Newark,Delaware,"39.6837226, -75.7496572",NA
220,The Smyrna call.,sn88053031,10/8/1901,10/8/1901,Smyrna,Delaware,"39.2998339, -75.6046494",NA
221,The Smyrna telegraph.,sn88053064,1850-01-03,1850-03-28,Smyrna,Delaware,"39.2998339, -75.6046494",NA
222,The Society news.,sn88053091,1883-10-13,1883-12-15,Wilmington,Delaware,"39.744655, -75.5483909",42478
223,The statesman & blue hen's chicken.,sn88053047,1854-11-11,1854-11-11,Wilmington,Delaware,"39.744655, -75.5483909",42478
224,The sun.,sn88053087,1897-10-25,12/31/1901,Wilmington,Delaware,"39.744655, -75.5483909",42478
225,The Sunday critic.,sn88053089,1883-12-16,1883-12-16,Wilmington,Delaware,"39.744655, -75.5483909",42478
226,The Sunday mirror.,sn88053051,1880-07-25,1880-07-25,Wilmington,Delaware,"39.744655, -75.5483909",42478
227,The Sussex Countian and Laurel gazette.,sn88053065,1896-10-24,1896-10-24,Laurel,Delaware,"38.5565041, -75.5713141",NA
228,The Sussex gazette.,sn88053059,1838-09-14,1838-09-14,Georgetown,Delaware,"38.6901134, -75.3854728",NA
229,The Sussex Republican.,sn88053058,1894-11-10,12/9/1911,Georgetown,Delaware,"38.6901134, -75.3854728",NA
230,The Union Republican.,sn88053088,10/21/1904,12/2/1904,Georgetown,Delaware,"38.6901134, -75.3854728",NA
231,The Union.,sn84038105,1863-09-11,1864-09-02,Georgetown,Delaware,"38.6901134, -75.3854728",NA
232,Weekly Delaware State journal and statesman.,sn88053132,1861-01-11,1869-02-05,Wilmington,Delaware,"39.744655, -75.5483909",42478
