"","Title","LCCN","Start_Date","End_Date","Town","State"
"27","The morning Alaskan.","sn94050030",1898-02-01,1898-02-01,"Skaguay","Alaska"
"28","Seward daily gateway.","2017218598",1905-11-23,1914-07-21,"Seward","Alaska"
"29","The Seward gateway and the Alaska evening post.","sn87062015",1917-02-01,1918-01-17,"Seward","Alaska"
"30","The Seward gateway daily edition, and the Alaska weekly post.","sn87062016",1918-01-18,1920-11-27,"Seward","Alaska"
"31","The Seward gateway.","sn87062168",1920-11-29,1921-02-26,"Seward","Alaska"
"32","Seward gateway.","2009252766",1904-08-19,1905-11-18,"Seward","Alaska"
"33","The Seward gateway.","sn2008058232",1914-07-22,1917-01-31,"Seward","Alaska"
"34","Seward weekly gateway.","sn98059811",1905-11-25,1908-06-27,"Seward","Alaska"
"35","The Stroller's weekly and Douglas Island news.","sn93049267",1921-07-09,1922-12-30,"Juneau","Alaska"
"36","The Thlinget.","sn94050023",1908-08-01,1912-06-01,"Sitka","Alaska"
"37","Valdez daily prospector.","sn98060264",1908-07-18,1918-05-07,"Valdez","Alaska"
"38","Valdez weekly prospector.","sn84021940",1908-08-20,1909-02-25,"Valdez","Alaska"
"39","The weekly Alaska citizen.","sn96060004",1917-10-08,1917-12-31,"Fairbanks","Alaska"
"40","The Apache sentinel.","sn95060813",1943-07-16,1945-04-27,"Fort Huachuca","Arizona"
"41","The argus.","sn94051341",1895-12-12,1900-05-05,"Holbrook","Arizona"
"42","The Arizona champion. [volume] (Peach Springs, Mohave County, A.T.","sn82016246",1883-10-06,1891-05-16,"Peach Springs","Arizona"
"43","Arizona citizen. [volume] (Tucson, Pima County, A.T.","sn82014896",1870-10-15,1880-04-10,"Tucson","Arizona"
"44","Arizona daily citizen.","sn87062098",1900-04-26,1901-12-14,"Tucson","Arizona"
"45","The Arizona daily orb.","sn94050505",1899-07-15,1900-04-30,"Bisbee","Arizona"
"46","The Arizona gleam.","sn95060626",1929-12-15,1937-11-26,"Phoenix","Arizona"
"47","The Arizona kicker.","sn95060900",1893-11-29,1898-10-12,"Tombstone","Arizona"
"48","Arizona miner.","sn82016242",1864-03-09,1868-07-25,"Fort Whipple","Arizona"
"49","The Arizona post.","sn82000867",1946-09-24,1963-01-25,"Tucson","Arizona"
"50","Arizona republican.","sn84020558",1890-05-19,1922-06-29,"Phoenix","Arizona"
"51","Arizona sentinel and Yuma weekly examiner.","sn95060876",1911-09-28,1915-06-03,"Yuma","Arizona"
"52","Arizona sentinel Yuma southwest.","sn95060877",1915-06-10,1916-06-22,"Yuma","Arizona"
"53","The Arizona sentinel. [volume] (Arizona City [Yuma], Yuma County, A.T.","sn84021912",1872-03-23,1911-09-21,"Arizona City","Arizona"
"54","Arizona sentinel.","sn95060878",1916-06-29,1918-03-07,"Yuma","Arizona"
"55","Arizona silver belt.","sn84021913",1878-05-02,1907-09-01,"Globe City","Arizona"
"56","Arizona sun.","sn84021917",1944-07-07,1963-12-27,"Phoenix","Arizona"
"57","Arizona tribune.","sn84021918",1958-07-25,1963-12-27,"Phoenix","Arizona"
"58","Arizona weekly citizen.","sn82015133",1880-12-25,1896-12-26,"Tucson","Arizona"
"59","Arizona weekly enterprise.","sn94052364",1881-08-06,1890-12-27,"Florence","Arizona"
"60","Arizona weekly journal-miner.","sn85032938",1886-01-06,1903-03-04,"Prescott","Arizona"
"61","Arizona weekly miner.","sn82014898",1874-01-02,1877-06-01,"Prescott","Arizona"
"62","Arizona weekly republican.","sn89077833",1893-01-19,1893-02-23,"Phoenix","Arizona"
"63","The Benson signal.","sn94050514",1915-07-10,1920-04-17,"Benson","Arizona"
"64","Bisbee daily review.","sn84024827",1901-12-04,1922-12-31,"Bisbee","Arizona"
"65","The border vidette.","sn96060796",1897-05-15,1934-07-07,"Nogales","Arizona"
"66","The Clifton clarion.","sn94050557",1885-01-21,1889-08-28,"Clifton","Arizona"
"67","Cochise review and Arizona daily orb.","sn94050506",1900-05-03,1900-05-16,"Bisbee","Arizona"
"68","Cochise review.","sn94050513",1900-05-17,1901-03-09,"Bisbee","Arizona"
"69","The Coconino sun.","sn82016245",1891-05-23,1891-10-29,"Flagstaff","Arizona"
"70","The Coconino sun.","sn87062055",1898-01-29,1927-11-25,"Flagstaff","Arizona"
"71","The Coconino weekly sun.","sn87062054",1891-11-05,1896-11-26,"Flagstaff","Arizona"
"72","The Coolidge examiner.","sn94050542",1930-03-07,1946-12-27,"Coolidge","Arizona"
"73","The copper era and Morenci leader.","sn94050892",1911-12-01,1922-12-29,"Clifton","Arizona"
"74","The copper era.","sn89053851",1899-06-01,1911-11-24,"Clifton","Arizona"
"75","Daily Arizona silver belt.","sn87082863",1907-01-02,1910-05-26,"Globe","Arizona"
"76","The Daily morning oasis.","sn83025458",1917-12-01,1920-12-30,"Nogales","Arizona"
"77","Daily Tombstone epitaph.","sn96060682",1885-12-22,1887-05-07,"Tombstone","Arizona"
"78","The Daily Tombstone.","sn94052361",1885-09-01,1886-12-07,"Tombstone","Arizona"
"79","Douglas daily dispatch.","sn84020064",1926-01-01,1928-03-31,"Douglas","Arizona"
"80","Duncan Arizonian.","sn95060762",1911-04-05,1913-11-05,"Duncan","Arizona"
"81","The Flagstaff sun-democrat.","sn94050554",1897-01-07,1897-11-18,"Flagstaff","Arizona"
"82","The Florence tribune.","sn94050572",1892-08-25,1901-12-28,"Florence","Arizona"
"83","El fronterizo.","sn95070521",1882-01-06,1929-01-15,"Tucson","Arizona"
"84","Graham guardian.","sn95060914",1895-03-09,1922-12-26,"Safford","Arizona"
"85","Holbrook argus.","sn94051342",1900-05-12,1913-02-04,"Holbrook","Arizona"
"86","The Holbrook news.","sn95060791",1909-05-14,1922-12-29,"Holbrook","Arizona"
"87","International.","sn96060773",1925-05-25,1926-07-04,"Nogales","Arizona"
"88","El mensajero.","sn96060814",1933-08-12,1945-01-01,"Phoenix","Arizona"
"89","Mesa free press.","sn95060636",1893-07-06,1901-03-22,"Mesa","Arizona"
"90","Mohave County miner and our mineral wealth.","sn96060547",1918-08-10,1922-12-01,"Kingman","Arizona"
"91","Mohave County miner. [volume] (Mineral Park, A.T.","sn84024828",1882-11-05,1918-08-03,"Mineral Park","Arizona"
"92","El mosquito.","sn97060147",1919-04-06,1925-11-18,"Tucson","Arizona"
"93","The Navajo times.","sn86091254",1959-11-01,1960-04-01,"Window Rock","Arizona"
"94","Navajo times.","sn85047513",1960-08-04,1962-12-27,"Window Rock","Arizona"
"95","Nogales international.","sn96060774",1926-07-11,1947-06-27,"Nogales","Arizona"
"96","The oasis.","sn85032933",1893-05-11,1912-12-28,"Arizola","Arizona"
"97","El Observador mexicano.","sn93061645",1897-10-02,1898-10-22,"Phoenix","Arizona"
"98","Papago Indian news.","sn94050960",1954-06-01,1963-12-01,"Sells","Arizona"
"99","The Parker post.","sn95060922",1911-07-01,1918-11-09,"Parker","Arizona"
"100","The Phoenix herald.","sn87062082",1879-03-05,1882-09-15,"Phoenix","Arizona"
"101","The Phoenix index.","sn96060866",1939-08-12,1942-08-29,"Phoenix","Arizona"
"102","The Phoenix Jewish news.","sn78001213",1948-12-31,1963-12-27,"Phoenix","Arizona"
"103","Phoenix tribune.","sn96060881",1918-08-03,1931-03-01,"Phoenix","Arizona"
"104","Phoenix weekly herald.","sn83025460",1896-05-07,1898-11-24,"Phoenix","Arizona"
"105","Post script.","sn95060815",1944-09-29,1945-06-15,"Fort Huachuca","Arizona"
"106","Safford rattler.","sn2004060008",1896-09-02,1896-09-23,"Safford","Arizona"
"107","Salt River herald.","sn87062081",1878-01-26,1879-03-01,"Phoenix","Arizona"
"108","The Skylight kicker.","sn94050555",1897-11-25,1897-12-30,"Flagstaff","Arizona"
"109","Snips and the St. Johns herald.","sn95060581",1903-03-19,1904-12-31,"St. Johns","Arizona"
"110","Snips.","sn95060580",1902-12-18,1902-12-18,"St. Johns","Arizona"
"111","The Snowflake herald.","sn86091255",1913-06-27,1921-08-26,"Snowflake","Arizona"
"112","El sol.","sn86090862",1942-01-23,1962-12-28,"Phoenix","Arizona"
"113","St. Johns herald and Apache news.","sn95060582",1906-10-11,1917-03-22,"St. Johns","Arizona"
"114","The St. Johns herald.","sn95060583",1917-03-29,1922-12-28,"St. Johns","Arizona"
"115","The St. Johns herald.","sn94051692",1885-02-12,1902-02-22,"St. Johns","Arizona"
"116","The Supai weekly news.","sn95060774",1957-01-02,1959-12-18,"Supai","Arizona"
"117","Tombstone daily epitaph.","sn96060681",1889-08-01,1889-12-01,"Tombstone","Arizona"
"118","Tombstone daily prospector.","sn95060902",1889-01-01,1891-03-05,"Tombstone","Arizona"
"119","The Tombstone epitaph.","sn82016455",1882-03-07,1882-03-07,"Tombstone","Arizona"
"120","The Tombstone epitaph.","sn84021939",1881-12-19,1882-06-17,"Tombstone","Arizona"
"121","Tombstone epitaph.","sn95060905",1887-08-06,1922-12-31,"Tombstone","Arizona"
"122","Tombstone prospector.","sn95060903",1896-06-26,1899-12-30,"Tombstone","Arizona"
"123","Tombstone weekly epitaph.","sn95060906",1882-06-24,1882-12-16,"Tombstone","Arizona"
"124","The Tombstone.","sn96060683",1885-03-21,1885-08-31,"Tombstone","Arizona"
"125","The Tucson citizen.","sn84020674",1901-12-16,1902-12-08,"Tucson","Arizona"
"126","El Tucsonense.","sn95060694",1915-03-17,1929-12-31,"Tucson","Arizona"
"127","Weekly Arizona citizen.","sn82016240",1880-06-19,1880-12-18,"Tucson","Arizona"
"128","Weekly Arizona journal-miner.","sn85032920",1903-03-11,1908-09-23,"Prescott","Arizona"
"129","The weekly Arizona miner.","sn82014899",1868-08-01,1873-12-26,"Prescott","Arizona"
"130","The weekly Arizona miner.","sn82014897",1877-06-08,1885-08-14,"Prescott","Arizona"
"131","The weekly Arizonian.","sn82014067",1859-03-03,1859-11-17,"Tubac","Arizona"
"132","The Weekly Arizonian. [volume] (Tucson, A.T.","sn84024829",1869-03-21,1871-04-29,"Tucson","Arizona"
"133","Weekly journal-miner.","sn85032923",1908-09-30,1922-12-27,"Prescott","Arizona"
"134","The Weekly orb.","sn94050504",1898-04-10,1899-09-24,"Bisbee","Arizona"
"135","Weekly Phoenix herald.","sn83025459",1882-09-22,1885-04-02,"Phoenix","Arizona"
"136","The weekly Republican.","sn89077832",1892-05-19,1892-07-28,"Phoenix","Arizona"
"137","Williams news.","sn82015761",1901-07-06,1922-12-29,"Williams","Arizona"
"138","Winslow daily mail.","sn95060744",1926-12-10,1926-12-31,"Winslow","Arizona"
"139","The Winslow mail.","sn96060765",1897-01-09,1926-12-27,"Winslow","Arizona"
"140","Arkansas true Democrat.","sn82014282",1857-06-09,1862-09-24,"Little Rock","Arkansas"
"141","The Brinkley argus.","sn91050004",1896-05-07,1920-02-05,"Brinkley","Arkansas"
"142","The Constitutional union.","sn87090585",1860-11-16,1861-04-05,"Des Arc","Arkansas"
"143","The Conway log cabin.","sn89051194",1900-06-26,1901-08-27,"Conway","Arkansas"
"144","The Courier-index.","sn89051338",1917-07-27,1921-07-01,"Marianna","Arkansas"
"145","Daily picayune.","sn89051256",1908-04-06,1921-07-15,"Prescott","Arkansas"
"146","The Daily soliphone.","sn89051437",1902-01-01,1902-05-31,"Paragould","Arkansas"
"147","The Daily true Democrat.","sn89051466",1861-03-09,1861-03-16,"Little Rock","Arkansas"
"148","The Dermott news.","sn90050260",1913-10-02,1919-09-11,"Dermott","Arkansas"
"149","Des Arc citizen.","sn89051370",1866-02-20,1867-02-02,"Des Arc","Arkansas"
"150","Des Arc citizen.","sn89051343",1858-11-13,1860-10-03,"Des Arc","Arkansas"
"151","Des Arc semi-weekly citizen.","sn89051341",1861-05-10,1861-08-14,"Des Arc","Arkansas"
"152","The Des Arc weekly citizen.","sn89051342",1861-08-14,1861-12-25,"Des Arc","Arkansas"
"153","Des Arc weekly citizen.","sn84027696",1867-02-09,1869-03-23,"Des Arc","Arkansas"
"154","The Forrest City times.","sn84022960",1887-10-08,1914-12-11,"Forrest City","Arkansas"
"155","The Little River news.","sn90050316",1915-03-31,1923-05-30,"Ashdown","Arkansas"
"156","The Log cabin Democrat.","sn85033000",1908-09-14,1922-04-19,"Conway","Arkansas"
"157","The Log cabin Democrat.","sn86090230",1906-07-19,1916-03-16,"Conway","Arkansas"
"158","The Mena star.","sn89051214",1898-03-02,1899-09-07,"Mena","Arkansas"
"159","The Mena weekly star.","sn89051213",1906-04-12,1922-03-23,"Mena","Arkansas"
"160","The Mena weekly star.","sn85032996",1896-08-26,1898-02-23,"Mena","Arkansas"
"161","Nevada County picayune.","sn87091048",1885-10-08,1892-05-05,"Prescott","Arkansas"
"162","The Nevada County picayune.","sn90050306",1906-01-10,1923-05-31,"Prescott","Arkansas"
"163","The Nevada news.","sn85032967",1916-12-21,1916-12-21,"Prescott","Arkansas"
"164","The Nevada picayune.","sn87091047",1884-11-27,1885-10-01,"Prescott","Arkansas"
"165","Newport daily independent.","sn89051130",1902-05-15,1919-02-24,"Newport","Arkansas"
"166","Newport weekly independent.","sn89051128",1901-04-25,1904-12-30,"Newport","Arkansas"
"167","The Ozark spectator.","sn90050371",1916-06-09,1917-08-29,"Ozark","Arkansas"
"168","Paragould soliphone.","sn90050221",1921-06-01,1922-12-29,"Paragould","Arkansas"
"169","Prescott clipper.","sn90050303",1877-07-07,1877-07-07,"Prescott","Arkansas"
"170","The Prescott daily news.","sn90050307",1907-04-08,1921-06-30,"Prescott","Arkansas"
"171","The Russellville Democrat.","sn84023017",1875-01-28,1893-12-21,"Russellville","Arkansas"
"172","The Sentinel=record.","sn89051285",1909-09-01,1919-05-15,"Hot Springs","Arkansas"
"173","The Spectator.","sn88051110",1914-08-04,1916-06-02,"Ozark","Arkansas"
"174","The Spectator.","sn90050361",1918-08-02,1922-06-23,"Ozark","Arkansas"
"175","The Times-picayune.","sn90050304",1900-11-15,1900-11-15,"Prescott","Arkansas"
"176","True Democrat bulletin.","sn89051467",1862-09-29,1862-09-29,"Little Rock","Arkansas"
"177","The True Democrat.","sn84022882",1854-04-18,1857-06-02,"Little Rock","Arkansas"
"178","True Democrat.","sn84023190",1862-10-01,1863-07-08,"Little Rock","Arkansas"
"179","The Weekly soliphone.","sn89051436",1915-01-01,1917-08-30,"Paragould","Arkansas"
"181","Amador ledger.","sn93052980",1900-01-05,1910-12-30,"Jackson","California"
"182","Amador weekly ledger.","sn93051029",1857-10-24,1858-07-17,"Jackson","California"
"183","Butte record.","sn93052998",1853-11-12,1857-07-11,"Bidwell","California"
"184","Calaveras chronicle.","sn84026973",1851-10-18,1853-03-19,"Mokelumne Hill","California"
"185","The Call-chronicle-examiner.","sn82015732",1906-04-19,1906-04-19,"San Francisco","California"
"186","El clamor público.","sn93052786",1855-06-19,1859-12-31,"Los Angeles","California"
"187","Columbia gazette and the southern mines advertiser.","sn82014554",1858-05-27,1858-07-15,"Columbia","California"
"188","Columbia gazette.","sn84038765",1853-11-12,1854-12-30,"Columbia","California"
"189","Columbia weekly news.","sn92068455",1858-08-26,1859-12-08,"Columbia","California"
"190","La crónica.","sn87056985",1914-04-25,1917-04-08,"San Francisco","California"
"191","La crónica.","sn84025126",1872-05-04,1889-07-27,"Los Angeles","California"
"192","The daily Butte record.","sn86058107",1858-02-01,1858-09-11,"Oroville","California"
"193","Daily Los Angeles herald.","sn85042459",1878-01-03,1884-10-05,"Los Angeles","California"
"194","Daily national Democrat.","sn84038814",1858-08-13,1861-10-27,"Marysville","California"
"195","The Empire County argus.","sn82014869",1853-11-19,1856-11-08,"Coloma","California"
"196","The Georgetown news.","sn93052972",1855-06-21,1856-05-22,"Georgetown","California"
"197","Georgetown weekly news.","sn93052971",1854-10-19,1855-06-14,"Georgetown","California"
"198","Grass Valley telegraph.","sn84026882",1853-10-06,1858-07-17,"Grass Valley","California"
"199","The herald.","sn85042461",1893-01-16,1898-12-31,"Los Angeles","California"
"200","Hispano América.","sn87021178",1917-04-15,1917-12-30,"San Francisco","California"
"201","The hydraulic press.","sn93051083",1858-08-21,1861-08-17,"North San Juan","California"
"202","Imperial press and farmer.","sn92070142",1901-11-02,1903-03-14,"Imperial","California"
"203","The Imperial press.","sn92070143",1903-04-04,1905-09-30,"Imperial","California"
"204","Imperial press.","sn98061398",1901-04-20,1901-10-26,"Imperial","California"
"205","Imperial Valley press and the Imperial press.","sn92070144",1906-03-24,1907-07-17,"El Centro","California"
"206","Imperial Valley press.","sn92070146",1907-07-23,1910-12-31,"El Centro","California"
"207","L'Italia.","sn85066408",1897-01-25,1919-12-31,"San Francisco","California"
"209","Los Angeles daily herald.","sn85042460",1884-10-07,1890-03-22,"Los Angeles","California"
"210","Los Angeles daily herald.","sn84038806",1873-10-02,1876-06-30,"Los Angeles","California"
"211","Los Angeles herald.","sn85042462",1905-01-01,1910-12-31,"Los Angeles","California"
"212","Los Angeles herald.","sn84025968",1890-03-23,1893-01-15,"Los Angeles","California"
"213","Mariposa Democrat.","sn84026978",1857-04-01,1858-04-01,"Mariposa","California"
"214","The morning call.","sn94052989",1890-04-01,1895-03-04,"San Francisco","California"
"215","The mountain Democrat.","sn82014487",1863-01-03,1865-12-30,"Placerville","California"
"216","Mountain Democrat.","sn82014488",1857-03-21,1860-08-18,"Placerville","California"
"217","The Nevada Democrat.","sn84026881",1856-08-20,1862-09-27,"Nevada","California"
"218","The Nevada journal.","sn84026884",1851-04-19,1863-11-04,"Nevada City","California"
"219","Nevada national.","sn86058101",1859-01-08,1860-07-21,"Grass Valley","California"
"220","Oroville daily Butte record.","sn86058106",1856-07-14,1858-01-30,"Oroville","California"
"221","The Placer herald.","sn82014998",1855-09-15,1874-12-26,"Auburn","California"
"222","La prensa.","sn83045394",1917-12-08,1922-01-19,"Los Angeles","California"
"223","The record-union.","sn82015104",1891-01-10,1899-12-31,"Sacramento","California"
"224","Sacramento daily record-union.","sn82014381",1880-01-01,1891-01-09,"Sacramento","California"
"225","San Andreas independent.","sn85025090",1856-09-24,1861-06-22,"San Andreas","California"
"226","The San Francisco call and post.","sn86064451",1913-12-09,1913-12-31,"San Francisco","California"
"227","The San Francisco call.","sn85066387",1895-03-05,1913-12-08,"San Francisco","California"
"228","The Semi-weekly mountain Democrat.","sn87067106",1860-08-22,1860-12-29,"Placerville","California"
"229","The Shasta courier.","sn82015099",1853-03-12,1872-12-14,"Shasta","California"
"230","The Sierra citizen.","sn86058097",1854-02-11,1855-02-03,"Downieville","California"
"231","The Sierra citizen.","sn87067105",1859-03-19,1860-02-18,"Downieville","California"
"232","Süd California Deutsche Zeitung.","sn86064439",1887-04-23,1923-12-28,"San Diego","California"
"233","The Trinity journal.","sn93053243",1856-01-26,1857-02-07,"Weaverville","California"
"234","The Trinity times.","sn85025203",1854-12-23,1855-09-08,"Weaverville","California"
"235","The union Democrat.","sn85025134",1855-10-13,1871-12-30,"Sonora","California"
"236","Volcano weekly ledger.","sn93051027",1855-10-27,1857-04-11,"Volcano","California"
"237","The weekly Butte record.","sn86058108",1858-09-18,1864-01-16,"Oroville","California"
"238","The weekly Butte record.","sn84038763",1866-03-24,1867-12-28,"Oroville","California"
"239","Weekly Calaveras chronicle.","sn93052977",1866-03-10,1868-11-14,"Mokelumne Hill","California"
"240","The weekly Columbian.","sn84038768",1856-06-28,1857-06-06,"Columbia","California"
"241","The weekly ledger.","sn93051028",1857-04-18,1857-10-03,"Jackson","California"
"242","The Weekly mountain Democrat.","sn82014489",1861-01-05,1862-12-27,"Placerville","California"
"243","The Weekly Placer herald.","sn93052117",1852-09-11,1855-09-08,"Auburn","California"
"244","The weekly Shasta courier.","sn85025132",1872-12-21,1873-12-27,"Shasta","California"
"245","The weekly Sierra citizen.","sn84038779",1856-06-28,1857-08-15,"Downieville","California"
"246","Weekly Trinity journal.","sn85025202",1857-02-14,1879-12-27,"Weaverville","California"
"247","The Weekly union record.","sn86076422",1864-01-23,1866-03-17,"Oroville","California"
"248","Bent County register.","sn90051188",1886-07-03,1889-03-23,"Lamar","Colorado"
"249","The Bessemer indicator.","sn91052321",1893-01-07,1894-11-17,"Bessemer","Colorado"
"250","Cañon City record.","sn85067315",1897-07-01,1909-09-23,"Cañon City","Colorado"
"251","Cheyenne record.","sn89052329",1913-09-18,1921-06-30,"Cheyenne Wells","Colorado"
"252","Cheyenne Wells record.","sn89052330",1921-07-07,1922-12-28,"Cheyenne Wells","Colorado"
"253","The chronicle=news.","sn90051521",1912-10-25,1915-01-20,"Trinidad","Colorado"
"254","Crystal River current.","sn86063194",1886-10-09,1887-09-24,"Crystal","Colorado"
"255","The daily sentinel.","sn86066870",1898-12-24,1903-02-07,"Grand Junction","Colorado"
"256","Delta chief.","sn86066893",1883-03-07,1885-12-02,"Delta","Colorado"
"257","The Delta independent.","sn86063206",1886-11-16,1907-11-22,"Delta","Colorado"
"258","The Democrat-herald.","sn89052134",1921-04-15,1922-12-29,"Springfield","Colorado"
"259","The Denver Jewish news.","sn91052360",1918-10-24,1922-12-27,"Denver","Colorado"
"260","The Denver star.","sn84025887",1913-03-22,1918-10-26,"Denver","Colorado"
"261","Eastern Colorado times.","sn89052328",1912-03-29,1913-09-04,"Cheyenne Wells","Colorado"
"262","The Elk Mountain pilot.","sn86063397",1880-06-24,1920-04-29,"Ruby Camp)","Colorado"
"263","Franklin's paper the Denver star.","sn91052312",1912-11-23,1913-03-15,"Denver","Colorado"
"264","Franklin's paper the statesman.","sn91052311",1906-06-08,1912-11-16,"Denver","Colorado"
"265","The Fremont County record.","sn85067309",1880-05-01,1883-07-14,"Canon City","Colorado"
"266","The Greeley tribune.","sn84022265",1903-09-10,1913-01-09,"Greeley","Colorado"
"267","The Idaho Springs siftings-news.","sn90051006",1905-06-03,1921-11-25,"Idaho Springs","Colorado"
"268","Idaho Springs siftings.","sn90051005",1902-05-03,1905-05-27,"Idaho Springs","Colorado"
"269","The indicator.","sn90051889",1894-11-24,1904-12-31,"Pueblo","Colorado"
"271","The Jewish outlook.","sn91052361",1904-08-05,1909-06-11,"Denver","Colorado"
"272","The Keota news.","sn89052038",1911-05-26,1922-12-29,"Keota","Colorado"
"273","La Junta tribune.","sn90051267",1898-01-01,1909-05-22,"La Junta","Colorado"
"274","The Lamar register.","sn86063147",1889-03-30,1903-10-21,"Lamar","Colorado"
"275","The Marble booster.","sn86063232",1911-03-18,1916-03-04,"Marble","Colorado"
"276","The Marble times and Crystal silver lance.","sn86063235",1900-09-14,1901-09-06,"Marble","Colorado"
"277","The Meeker herald.","sn90051081",1885-09-05,1922-12-30,"Meeker","Colorado"
"278","The new era.","sn91052444",1907-02-07,1912-08-01,"Walden","Colorado"
"279","North Park union.","sn91052553",1896-07-31,1906-11-02,"Walden","Colorado"
"280","The Ordway new era.","sn90051033",1902-03-14,1917-12-28,"Ordway","Colorado"
"281","Pueblo chieftain.","sn90051672",1921-01-03,1922-03-19,"Pueblo","Colorado"
"282","The Raymer enterprise.","sn89052040",1910-09-01,1923-10-04,"New Raymer","Colorado"
"283","Rocky Ford enterprise.","sn90051265",1893-08-31,1908-05-29,"Rocky Ford","Colorado"
"284","The silver lance.","sn90051407",1897-07-16,1899-10-20,"Crystal","Colorado"
"285","The Springfield herald.","sn89052133",1897-01-15,1919-06-27,"Springfield","Colorado"
"286","The statesman.","sn83025516",1905-01-13,1906-06-01,"Denver","Colorado"
"287","American mechanic and home journal.","sn93053981",1849-11-16,1849-12-22,"Norwich","Connecticut"
"288","The bee.","sn92051488",1877-06-28,1877-09-27,"Newtown","Connecticut"
"289","The Bridgeport evening farmer.","sn84022472",1909-01-02,1917-12-31,"Bridgeport","Connecticut"
"290","The Bridgeport times and evening farmer.","sn92051227",1918-01-01,1922-12-30,"Bridgeport","Connecticut"
"291","Connecticut chronicle.","sn92051345",1948-06-05,1948-06-05,"Hartford","Connecticut"
"292","The Connecticut citizen.","sn94053145",1892-10-08,1892-10-08,"Ridgefield","Connecticut"
"293","The Connecticut craftsman.","sn92051251",1932-03-15,1932-03-15,"Hartford","Connecticut"
"294","The Connecticut labor news.","sn92051283",1921-01-21,1925-03-14,"New Haven","Connecticut"
"295","The Connecticut labor press.","sn92051282",1918-02-16,1921-01-14,"New Haven","Connecticut"
"296","Connecticut western news.","sn84027718",1871-07-14,1922-12-28,"Salisbury","Connecticut"
"297","Connecticut workman.","sn92051612",1901-10-24,1901-10-24,"Bridgeport","Connecticut"
"298","The daily morning journal and courier.","sn84020358",1894-06-25,1907-12-14,"New Haven","Connecticut"
"299","The examiner.","sn86077047",1881-11-19,1888-03-03,"Hartford","Connecticut"
"300","Hartford chronicle.","sn92051342",1946-04-20,1947-05-03,"Hartford","Connecticut"
"301","Hartford labor.","sn92051379",1894-10-20,1894-10-20,"Hartford","Connecticut"
"302","L'indipendente.","sn93053873",1907-01-01,1936-05-23,"New Haven","Connecticut"
"303","The labor standard.","sn92051523",1910-01-01,1922-02-15,"Hartford","Connecticut"
"304","The liberty bell and workingmen's advocate.","sn93053978",1867-03-07,1867-03-07,"Norwich","Connecticut"
"305","Mechanics', operatives', and laborers' advocate.","sn92051568",1836-11-28,1837-02-13,"Norwich","Connecticut"
"306","Morning journal and courier.","sn82015483",1880-01-01,1894-06-23,"New Haven","Connecticut"
"307","The morning journal-courier.","sn92051397",1907-12-16,1908-12-31,"New Haven","Connecticut"
"308","New Britain herald.","sn82014519",1914-04-01,1930-12-31,"New Britain","Connecticut"
"309","New England bulletin.","sn92051343",1949-03-26,1949-07-09,"Hartford","Connecticut"
"310","The Newtown bee.","sn92051487",1877-10-04,1909-12-31,"Newtown","Connecticut"
"311","Norwich bulletin.","sn82014086",1909-01-01,1922-12-30,"Norwich","Connecticut"
"312","The Press.","sn92051501",1883-04-05,1922-12-28,"Stafford Springs","Connecticut"
"313","Republican farmer.","sn82015536",1909-04-02,1920-08-13,"Danbury","Connecticut"
